Alert #,Instrument,Notes,Alert Trigger,Conditional Logic,Message Send Date,Message Destination ,Message
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
60,At-Home Survey Send (Text) ,,na,[visit_1_y2_arm_1][break_1_complete]=2,"3 hours, 45 minutes after [visit_1_y2_arm_1][timestamp_athome]","[preenrollment_arm_1][phone_primary]; [preenrollment_arm_1][phone_secondary]	[email]","Hi this is project LITe. This is for [preenrollment_arm_1][first_name]. We are sending an 8 section, 10-15 minute at-home survey section to complete. We will reach out to schedule the second visit once this survey has been completed: [athome_measures_y2_arm_1][survey-link:texi]"
61,At-Home Survey Send (Email),,na,[visit_1_y2_arm_1][break_1_complete]=2,"3 hours, 45 minutes after [visit_1_y2_arm_1][timestamp_athome]","	[preenrollment_arm_1][email]","Hi this is project LITe. This is for [preenrollment_arm_1][first_name]. We are sending an 8 section, 10-15 minute at-home survey section to complete. We will reach out to schedule the second visit once this survey has been completed: [athome_measures_y2_arm_1][survey-link:texi] Project LITe Team"
,,,,,,,
,,,,,,,
48,Screen Time Auto Invite 1.1 ,,,[screen_time_y2_arm_1][screen_time_cycle_1]=1AND[screen_time_y2_arm_1][screen_time_1_complete]<>2,[screen_time_y2_arm_1][screen_time_1_1_date],"[preenrollment_arm_1][phone_primary]; [preenrollment_arm_1][phone_secondary]	[email]",Hi this is project LITe. This is for [preenrollment_arm_1][first_name]. We are sending a brief 2-3 minute at screen-time survey to complete. We also want to remind you that for sticking with us and completing these surveys you will be compensated with $70 after 10 months. 1/9 [screen_time_y2_arm_1][survey-link:screen_time_1] THERE WILL BE DAILY AUTOMATED REMINDERS FOR THE NEXT WEEK UNTIL THE SURVEY IS COMPLETE
49,Screen Time Auto Invite 1.2 ,,,"[screen_time_y2_arm_1][screen_time_cycle_1]=1
AND
[screen_time_y2_arm_1][screen_time_2_complete]<>2",[screen_time_y2_arm_1][screen_time_1_2_date],"[preenrollment_arm_1][phone_primary]; [preenrollment_arm_1][phone_secondary]	[email]",Hi this is project LITe. This is for [preenrollment_arm_1][first_name]. We are sending a brief 2-3 minute at screen-time survey to complete. We also want to remind you that for sticking with us and completing these surveys you will be compensated with $70 after 10 months. 2/9 [screen_time_y2_arm_1][survey-link:screen_time_2] THERE WILL BE DAILY AUTOMATED REMINDERS FOR THE NEXT WEEK UNTIL THE SURVEY IS COMPLETE
50,Screen Time Auto invite 1.3 ,,,"[screen_time_y2_arm_1][screen_time_cycle_1]=1
AND
[screen_time_y2_arm_1][screen_time_3_complete]<>2",[screen_time_y2_arm_1][screen_time_1_3_date],"[preenrollment_arm_1][phone_primary]; [preenrollment_arm_1][phone_secondary]	[email]",Hi this is project LITe. This is for [preenrollment_arm_1][first_name]. We are sending a brief 2-3 minute at screen-time survey to complete. We also want to remind you that for sticking with us and completing these surveys you will be compensated with $70 after 10 months. 3/9 [screen_time_y2_arm_1][survey-link:screen_time_3] THERE WILL BE DAILY AUTOMATED REMINDERS FOR THE NEXT WEEK UNTIL THE SURVEY IS COMPLETE
